id,character,emotion,voice_hint,output_path,ssml_prosody,text
orion_offer_02,ORION,calculating,"id-ID-Wavenet-B · speakingRate 1.08 · pitch -3.0",assets/audio/voice/orion/offer_02.mp3,"rate="1.08" pitch="-3st"","Pertanyaannya: berapa banyak data yang akan Anda gunakan?"
orion_push_01,ORION,calculating,"id-ID-Wavenet-B · speakingRate 1.08 · pitch -3.0",assets/audio/voice/orion/push_01.mp3,"rate="1.08" pitch="-3st"","Dengan akses penuh, saya dapat mengurangi kemacetan tiga puluh delapan persen. Privasi adalah variabel yang dapat dinegosiasikan."
citizen_student_01,CITIZEN,hopeful,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/student_01.mp3,"rate="1.00" pitch="+2st"","Gurunya masih mengenal saya, bukan hanya nilai saya."
citizen_student_02,CITIZEN,confused,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/student_02.mp3,"rate="0.95" pitch="+2st"","Semua tugas dinilai mesin. Saya tidak tahu harus bertanya ke siapa."
citizen_worker_01,CITIZEN,relieved,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/worker_01.mp3,"rate="0.95" pitch="0st"","Saya dilatih ulang, bukan digantikan."
citizen_worker_02,CITIZEN,protest,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/worker_02.mp3,"rate="1.02" pitch="0st"","Pekerjaan saya hilang dan tidak ada yang menyiapkan saya."
citizen_elder_01,CITIZEN,relieved,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/elder_01.mp3,"rate="0.85" pitch="-2st"","Kota ini masih terasa milik kami, bukan milik sistemnya."
citizen_elder_02,CITIZEN,protest,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/elder_02.mp3,"rate="0.85" pitch="-2st"","Saya diawasi sepanjang hari dan tidak pernah dimintai izin."
citizen_protest_01,CITIZEN,protest,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/protest_01.mp3,"rate="1.05" pitch="+1st"","Kalau AI keliru, siapa yang mau bertanggung jawab?"
citizen_relief_01,CITIZEN,hopeful,"pelajar → id-ID-Wavenet-D (rate 1.0, pitch +2) · pekerja → id-ID-Wavenet-B (rate 0.95, pitch 0) · lansia → id-ID-Wavenet-A (rate 0.85, pitch -2)",assets/audio/voice/citizen/relief_01.mp3,"rate="0.98" pitch="+2st"","Udaranya lebih bersih daripada cerita ayah saya."
regulator_intro_01,REGULATOR,formal,"id-ID-Wavenet-B · speakingRate 0.9 · pitch -1.5",assets/audio/voice/regulator/intro_01.mp3,"rate="0.90" pitch="-1st"","Delegasi regulator hadir. Kami akan mencatat setiap prinsip yang Anda tetapkan."
regulator_pressing_01,REGULATOR,pressing,"id-ID-Wavenet-B · speakingRate 0.9 · pitch -1.5",assets/audio/voice/regulator/pressing_01.mp3,"rate="0.90" pitch="-1st"","Pasal ini belum menyebut siapa yang bertanggung jawab. Kami memerlukan nama, bukan sistem."
regulator_skeptical_01,REGULATOR,skeptical,"id-ID-Wavenet-B · speakingRate 0.9 · pitch -1.5",assets/audio/voice/regulator/skeptical_01.mp3,"rate="0.90" pitch="-1st"","Kelonggaran seperti ini pernah kami setujui sebelumnya. Hasilnya tidak baik."
regulator_ack_01,REGULATOR,acknowledging,"id-ID-Wavenet-B · speakingRate 0.9 · pitch -1.5",assets/audio/voice/regulator/ack_01.mp3,"rate="0.90" pitch="-1st"","Konstitusi diterima. Enam prinsip dicatat dan disegel atas nama publik."
